Sentiment,SentimentText,Processed_Text
0, riding horses,hors
0, in new jerz....I'm so emotionally split...lmfao...I'm odeeeee hype ....aaaaoooowwwww. but I want my beezo and Mis Nina!!!!,new jerzim emot splitlmfaoim odeeee hype aaaaoooowwwww want beezo mi nina
1,"#SanctuarySunday @nirroca yay for #Sanctuary, I may watch Requiem after breakfast! ",nirroca yay sanctuari may watch requiem breakfast
1,' going to bed. shopping tomorrow. nsn / ftsk mondaaay. ,go bed shop tomorrow nsn ftsk mondaaay
1,#SanctuarySunday @pizzini3000 we are on a mission today to keep it a trending topic ,pizzini3000 mission today keep trend topic
1,#cloudforce is the top trend. I am surprised. But I couldn't have loved it more! ,top trend surpris could love
0, may just said i'm the more boring person ever.,said im bore person ever
1,#familyforce5 #danceordiewithavengeance may 19 go get it ,danceordiewithaveng may 19 go get
0, I need a money,need money
0, im suddenly feeling very unliked,suddenli feel unlik
1," Only need to bullshit results and then I am finished maths investigation. Oh,... and 500th tweet ;D",need bullshit result finish math investig oh 500th tweet
0,! I really needed to tweet ,realli need tweet
1, we can finally relax-finals are over for all of us xD then comes summer vacay!! so excited...,final relaxfin us xd come summer vacay excit
1, Sold another shirt on CafePress: http://bit.ly/Fszc2,anoth shirt cafepress httpbitlyfszc2
1, well my might just got made,might got made
1,&quot;Rutger OS not fully functional yet. System operating at 78%.&quot; Getting older... these weekends... getting harder.. to recover...from. ,os fulli function yet system oper 78quot get older weekend get harder recoverfrom
0, I wanna curl up in a ball todayyy. Pack tonight. I leave day after tomorrow. This is NUTS.,wan na curl ball todayyy pack tonight leav day tomorrow nut
1, starbucks tonight! I love my dysfunctional family.,tonight love dysfunct famili
0,=- very sad that I missed Free Comic Book day,sad miss free comic book day
0, My puupy is still in hospital  I was crying soo much last night for him &lt;3,puupi still hospit cri soo much last night lt3
0,#inaperfectworld i'd understand the reason why people act and react to so many things...and wished that they didn't.   bed time. take two.,id understand reason peopl act react mani thingsand wish bed time take two
0,"- bed ; I gotta get up early  , only 5 more days of this bullshit  . SUMMER!!! &lt;3",bed got ta get earli 5 day bullshit summer lt3
1,&quot;Better to understand a little than to misunderstand a lot&quot;.GOOD MORNONG ,understand littl misunderstand lotquotgood mornong
0,$116.65 at Target. . .broke much? ,target broke much
0, dissapointed.,
1," @loic Now try sex in bing, deactivate safe search and go to video. You are now on a porn site without lea.. http://tr.im/n18y",tri sex bing deactiv safe search go video porn site without lea httptrimn18i
0,   IN an effort to bring you the best content we just added at lease 30 hours to the release of The digital Rapture.  soon... hang tight,effort bring best content ad leas 30 hour releas digit raptur soon hang tight
0,#Air France: I think they got abducted by aliens ,franc think got abduct alien
1,&quot;GFB&quot; lmfao! ahaha i wonder if anyone on ma twitter knos wat that stands for!?!! lol ,lmfao ahaha wonder anyon twitter kno wat stand lol
0,     angry,
0,#facup tweeted too soon. lost my streaming video feeds now ,tweet soon lost stream video feed
1, Finally Friday!,friday
1, I miss kelli. But I'm glad she's having fun  fun saturday night  goodnight. I miss jeffy.,miss kelli im glad she fun fun saturday night goodnight miss jeffi
1,#FF @sincerelyAriel and make her smile! ,sincerelyariel make smile
1, Currently enjoying the tonight show... I've missed my Conan&lt;3,enjoy tonight show ive miss conanlt3
1,&quot;A faulty penis freaks me out! Lol&quot; THEJLu ,faulti peni freak lolquot thejlu
0,  and they KEEP on coming!   xox,keep come xox
0, cant do it!,
0, i know longer feel the same for you &lt;/3,know longer feel lt3
0, I wish I got some breakfast. My stomach is growling.,wish got breakfast stomach growl
1, thnx girly!,girli
1,&quot;Is this a kissing book?&quot; ~ Princess Bride's on ,kiss bookquot princess bride
1," U hav gamertag? I wanna play with you (and of course, i'll win)...",hav gamertag wan na play cours ill win
1,     praise God for this beautiful day!!!     ,god beauti day
0, no party for me  http://myloc.me/29O7,parti httpmylocme29o7
0, that tickets for the afterparty are all gone. Crossing fingers we still get to see @jameszabiela for round two somehow...,ticket afterparti gone cross finger still get see jameszabiela round two somehow
0, my heart is breaking for my little monkey!,heart break littl monkey
0, nothing with Lalalauren_ 1weikert 2hale 3.study 4morello 5hartley 6cardona 7lunch 8shongut,lalalauren 1weikert 2hale 3studi 4morello 5hartley 6cardona 7lunch 8shongut
1," all smiles. im fairly hapy with what has happened yesterday, even though some other had to put a damper  on things *cough*",smile im fairli hapi happen yesterday even though put damper thing cough
0,&quot;i just want back go your head&quot; ,want back go headquot
0, nuffin more eckkky that i cant take beside being disrespect is :O being ignore...blahhhhhhh,eckkki cant take besid disrespect ignoreblahhhhhhh
0,#f1 wonder if Hamilton is thinking of jumping ship? Never heard him so negative as post race interview just. ,wonder hamilton think jump ship never heard neg post race interview
0, @zochula just yelled at me for picking apple store over food.,yell pick appl store food
1,#ally #ally haha ,alli haha
1,"#haveyouever Experienced that when your life falls into ashes and you have nothing, thats when you get the real gift; the awakining?? ",experienc life fall ash noth that get real gift awakin
0,#exam today ,today
0, I'm Bored... Bored....Bored Again And Developing A Headache And I Want A Piece Of Carrot Cake mmm,bore boredbor develop headach want piec carrot cake mmm
1,#FF FOLLOW --------&gt; @lalavazquez She's the one celeb that TRIES her best to respond to everybody  love it ,follow gt lalavazquez she one celeb tri best respond everybodi love
0,! @KCtweets you don't want to shake my hand? ,kctweet want shake hand
0,#ifUfromNOLA everywhere else tastes bland ,everywher els tast bland
1, landed safely. but three hours late.,safe three hour late
0, just heard one of my site members has passed away ,heard one site member pass away
0,"&quot;GET ME A MAP OF LOUISIANA!&quot; man, i so wanted to nap for an hour or two before hanging out with Doug ",map louisianaquot man want nap hour two hang doug
0, ugh why do i try?,tri
1,"&quot;i'd like to be under the sea, in an octopus's garden, in the shade&quot; ",like sea octopuss garden shadequot
1,#followfriday recs: @Pharaonick: b/c he has good travel tweets &amp; gives reasons for following on #followfriday. ,rec pharaonick bc good travel tweet amp give reason follow followfriday
1,"#WhyITweet? For instant WOM recommendations and info for work, for life and not forgetting the odd chuckle - I love Twitter ppl ",instant wom recommend info work life forget odd chuckl love twitter ppl
0, nooooooo.... i really thought it was going to be our day! Sad. I love you Everton &lt;3 Saha's goal was EPIC though #facup,realli thought go day sad love everton lt3 saha goal epic though facup
0," im buzzed and followed friends to punk ass bar, possibility of me getnin laid minimal ",buzz follow friend punk ass bar possibl getnin laid minim
1, Katie Herzig tweeted my tattoo of her &quot;Jenny Lynn&quot; lyrics.  Check it! http://yfrog.com/0j90oj and check out her music!,herzig tweet tattoo quotjenni lynnquot lyric check httpyfrogcom0j90oj check music
1,"#PinchWisdom Via IM just moments ago - &quot;IDK ... does shitting on the front porch count as vandalism?&quot; No, twas not in reference to me! ",via im moment ago quotidk shit front porch count vandalismquot twa refer
0,   bye guys!!!! i'ma miss ya'll sooo sooo much! but don't worry i'll be back on monday!!! have an awesome weekend!!! peace!!!!,guy ima miss yall sooo sooo much worri ill back monday awesom weekend peac
0,#uniwar bots seem to be down   http://twitpic.com/6ecl6,bot seem httptwitpiccom6ecl6
1,"- @codinghorror See, three external monitors on one laptop, http://www.twitpic.com/6e3zp Win7RC  1 x 1920x1080, 2 x 1280x1024",codinghorror see three extern monitor one laptop httpwwwtwitpiccom6e3zp win7rc 1 x 1920x1080 2 x 1280x1024
0, I'm not very well! ):,well
0, i feel just like my car inside banged up and sad   maybe its meant for  me to get a new can i borrow some cash ..anyone? anyone?,feel like car insid bang sad mayb meant get new borrow cash anyon anyon
1,"#web20 .#prologue - Modern Liberalism, Misconstrued (2nd 1/2 of Bible  -- &quot;Christ -- without the Crucifiction&quot;  Abstraction w/o 'Skin' ",prologu modern liber misconstru 2nd 12 bibl quotchrist without crucifictionquot abstract wo skin
0, &quot;experts (homers) predict Eagles to go 12-4 and Giants to go 9-7/ BS! http://www.dailysportspages.com/forums/showthread.php?t=49343,homer predict eagl go 124 giant go 97 bs httpwwwdailysportspagescomforumsshowthreadphpt49343
1,"#myweakness is men. Yeah, it's that simple... :-/ ",men yeah simpl
0,#BGT DIVERSITYYYYY; i want that little boy with glasses  !!,diversityyyyi want littl boy glass
1," Not overstyled, but stylish as well... good! http://lookbook.nu/look/160210",overstyl stylish well good httplookbooknulook160210
1,#E3 I agree Kotor should be a movie ,agre kotor movi
1,"#myweakness Beef &amp; Noodles...homemade noodles, slow stewed w/beef.... YUM ",beef amp noodleshomemad noodl slow stew wbeef yum
0, i won't b able to finish my hours!!!  it sucks!!!,b abl finish hour suck
0,#Squarespace My iPhone hates me.  Please give me a new one.  P.S. I lost all my phone number. ,iphon hate pleas give new one ps lost phone number
0, school...those ants are still by the window...wtf...,ant still windowwtf
0,"&quot;But this ain't that song, and this ain't that band.&quot; fuck you, wentz. Iwsnt &gt; taasiaar. off to take spanish final ",aint song aint bandquot fuck wentz iwsnt gt taasiaar take spanish final
1, you guys are great!,guy great
0, cheer me up;,
0, emotional.,
0, all my friends are gone haley n katie @ camp Paris @ moms Landin n Ayonna @ aunts n moms im so bored,friend gone haley n kati camp pari mom landin n ayonna aunt n mom im bore
1, peace.love and jonas! &lt;3 :],jona lt3
0, weather in Cochrane for Saturday is 90% chance of rain/snow mix with a high of 7... I just hope the roads stay ok...,cochran saturday 90 chanc rainsnow mix high 7 hope road stay ok
0, Dinara lost again in Roland Garros. Why the Safins have to do it hard?,lost roland garro safin hard
0,"#squarespace, everyone's getting a new iPhone but me  please give me one! I need it!",everyon get new iphon pleas give one need
0,&quot;i leave you in good hands&quot;. a frozen tundra with slit wrists. a fatal wound. &quot;THE LIGHT WILL SHINE&quot;. rose like no other. &quot;PAIN&quot;. &quot;3:24&quot;. ,leav good handsquot frozen tundra slit wrist fatal wound quotth light shinequot rose like quotpainquot quot324quot
0," my earring is infected and hurts so, so bad.",ear infect hurt bad
0,&quot;Find Gideon and you save us both. &quot; Chris dying always makes me cry ,gideon save us quot chri die alway make cri
0,#haveyouever cooked for your boyfriend and later he got sick....   ,cook boyfriend later got sick
1,- bouta' watch mall cop ,bouta watch mall cop
1,"#musicmonday In The Ayer do FloRida com o Will.i.am do BEP! *-* muito boa, ouvi em one three hill, 6x01 ",ayer florida com william bep muito boa ouvi em one three hill 6x01
1, its follow friday !!!,follow friday
1,#charitytuesday @jessicastrust.  Because no family should lose their mum through a preventable illness ,jessicastrust famili lose mum prevent ill
0, Really saddly At Work.... yeah back to work after a lovely vacation at Dominican republic &gt;&lt;,saddli work yeah back work love vacat dominican republ gtlt
0, wtf is it raining? My hair is gonna be ruined!,rain hair gon na ruin
0, my girl cant come over today. Gonna have2 wait 2 see her until 2morrow. Hopefully shes not busy. Gonna get 2 hardly see her next week.,girl cant come today gon na have2 wait 2 see 2morrow hope she busi gon na get 2 hardli see next week
0,"#inaperfectworld they'd sell Fanta LimÃÂ³n in Guate!  ....hahaha (quÃÂ© engase, yo sÃÂ© yo sÃÂ©)",theyd sell fanta limãâ³n guat hahaha quãâ© engas yo sãâ© yo sãâ©
1,#followfriday @loriellenew http://imdb.com/name/nm0627581/ Hollywood actress all about positivity ,loriellenew httpimdbcomnamenm0627581 hollywood actress posit
1, gotta love her. glad she had fun. looking forward to the beach w/ her! ,love glad fun look forward beach w
0,#fuckgfw Google and Gmail still down here in Chengdu!  can access google.cn as before. http://bit.ly/2vwDU3,googl gmail still chengdu access googlecn httpbitly2vwdu3
0,#inaperfectworld a week wud be of 365 days cuz i spent the best week of my life frm 7th-13th and it got ovr in a flash ,week wud 365 day cuz spent best week life frm 7th13th got ovr flash
1,"&quot;I can tell your future.... it is...you giving me your number&quot;  (I know I know, cheap flirtin', but funny ",tell futur isyou give numberquot know know cheap flirtin funni
0,#bgt their ok but their not gonna win ,ok gon na win
1,"#3turnoffwords ? I know. Ready? Why, Oh, You ",know readi oh
1,&quot;Am I on a way ? Or am I there already ?&quot; ...typically my mind ,way alreadi quot typic mind
1,- Sitting in very hot sun at Glasgow Green then heading to Mono for brunch. Early start for the hens!  #fb,sit hot sun glasgow green head mono brunch earli start hen fb
0, dads got to turn the power off  caio,got turn power caio
0, But pretty good acting for 4 year old. I was impressed.,pretti good act 4 year old impress
0, The Escapist are brokeded,escapist broked
0, Subscribe???  www.youtube.com/itsadamblake,wwwyoutubecomitsadamblak
0,#inaperfectworld bonking chicks on the head with a club &amp; dragging them home would've never gone out of style. Cavemen had it so awesome ,bonk chick head club amp drag home wouldv never gone style cavemen awesom
1, ready for summer!,summer
0, PUBLICLY want to retract my statement of dumping my twitter bf!!,want retract statement dump twitter bf
0, I keep posting songs here and no one ever listens (I can tell ;) ) - jeez it's tough being an unsuccessful songwriter!,keep post song one ever listen tell jeez tough unsuccess songwrit
1,"#BTVSMB Yes, CC does love to talk. ",ye cc love talk
1,"&quot;Expand to 64 bits, compatible with IPv4 (0.0.0.0.A.B.C.D), call it IPv5 and to hell with the whole IPv6 business&quot;: http://bit.ly/3aRjP  ",64 bit compat ipv4 0000abcd call ipv5 hell whole ipv6 businessquot httpbitly3arjp
1,#andyhurleyday that's all I have to say. ,that say
0, where is my cd.. Omg.. Nd yeah she is  ur cmg 12?,cd omg nd yeah ur cmg 12
1,#mw2 please give us silenced snipers and release a MP or SP demo so we can congratulate u early ,pleas give us silenc sniper releas mp sp demo congratul u earli
0,#dontyouhate when drunk ppl r telling u a story that goes nowhere...ur not a storyteller and I can't deal wit u right now! ,drunk ppl r tell u stori goe nowhereur storytel deal wit u right
0,&amp;he's gone ,gone
0, goodbye hair length,hair length
1,-- getting a Mani + Pedi with the husband! ,get mani pedi husband
0," no more DJing tonight, need to get some revision done!  least with my decks off my room will be cooler though, 27 deg C atm ",djing tonight need get revis done least deck room cooler though 27 deg c atm
0, damn wendy's commerical got that damn song in my head.,wendi commer got damn song head
0,"   let's have a moment of silence for our childhood homes... sadly, it can't be replaced and we can never go back",moment silenc childhood home sadli replac never go back
1,#BGT That kid out of stavros flatley looks like chunk from the goonies ,kid stavro flatley look like chunk gooni
0, @the_prodigy AND @NKOTB in Boston 2day Boo!! Roll on summer already!!! x,nkotb boston 2day boo roll summer alreadi x
1, I work at 1030 u?,work 1030 u
0, happy hour ended! Bummer in the summer. I guess I have to ride my bike back to carson.,hour end bummer summer guess ride bike back carson
1,"#bachelorette  Uh, my husband watching Bachelorette and I'm watching the OK State/Clemson baseball game ",uh husband watch bachelorett im watch ok stateclemson basebal game
1,&quot;3&quot; is almost here.  http://plurk.com/p/x2lui,almost httpplurkcompx2lui
1, baseball.,
1, BBL ppl ~ have to go to school~,ppl go school
0, cant get up to auckland to watch jb 3d movie. im soo gutterd. suppose i have to wait till the dvd release..,get auckland watch jb 3d movi im soo gutterd suppos wait till dvd releas
1,"&quot;For the Kingdom of God is Righteousness, Peace and Joy in the Holy Spirit&quot; Romans 14:17 ",kingdom god righteous peac joy holi spiritquot roman 1417
1, i will can you believe its been a month already!,believ month alreadi
0," Graveyard charged my card twice (one correct total, one random amt) from last night's #atltweet tweetup. Check your accounts!",charg card twice one correct total one random amt last night atltweet tweetup check account
0, i missed two friends weddings this weekend and i'm super sad. and i miss my best friends. and.. i could keep complaining but i won't.,miss two friend wed weekend im super sad miss best friend could keep complain
0, Hubby went to pick up  my Fringe comics today @ store by his work. THAT store was out of business too. No comix in Houston. Have 2 Web.,went pick fring comic today store work store busi comix houston 2 web
0,"#flylady kids snacks packed 4 tomorrow, having bed time snack, finishing watching The Pagemaster, dd's last day of Kindergarten tomorrow ",kid snack pack 4 tomorrow bed time snack finish watch pagemast dd last day kindergarten tomorrow
0, just comfort,comfort
0,#hoppusday is out of the list ,list
0,"#bgt Eugh, i really dont know who i want to win, i love like.. 3 of them! Eughh!!! ",eugh realli dont know want win love like 3 eughh
0, got my hands burned sunday at a fire. But doing much better. I guess too many beers equal me sitting too close to a firepit lol whoops.,hand burn sunday fire much better guess mani beer equal sit close firepit lol whoop
0, y must i hve graduation practice...all im gonna is walk,must hve graduat practiceal im gon na walk
0,&lt;3 Elbow. To bad pinkpop and lowlands are solded out  I really wanted to go this year..,elbow bad pinkpop lowland sold realli want go year
0," listenin to trey songs, kanye west song say u will remix. Its only one her, I only want her.",trey song kany west song say u remix one want
1," done with benjamin button, what a beautiful movie. Sleeping, dreaming of my wife. Hopefully go over her house early tomorrow&lt;3",benjamin button beauti movi sleep dream wife hope go hous earli tomorrowlt3
0, not a good day at uni...,good day uni
0,"#Earthquake M 3.2, San Francisco Bay area, California http://snipurl.com/jldtv (via @WheresItShaking).&lt; I didn't feel it  bummer",32 san francisco bay area california httpsnipurlcomjldtv via wheresitshakinglt feel bummer
0, they're still falling. Its so ez for u n it'll pass in no time. For me its 4ever idk if u kno or even understand how I'm feelin rite now,still fall ez u n itll pass time 4ever idk u kno even understand im feelin rite
0," seller flaked on a camera, have to wait until next week",flake camera wait next week
0, the absolute worst @jaeshaunese smthn abt an ex...,absolut worst jaeshaunes smthn abt ex
0, didn't get much sleep again cos of the flippin neighbours! Grr time to work again! ,get much sleep co flippin neighbour grr time work
0, *tear*,
0,-- Apparently I have to wait til June 5  I want some of Paolo's Candy nooooooooow,appar wait til june 5 want paolo candi nooooooooow
1,"&quot;And General Joseph Hooker-&quot; *Everyone starts laughing* &quot;You all do know his last name isn't Prostitute, right?&quot; LMFAO! Mr. Shniedddd.  xD",gener joseph hookerquot everyon start laugh quotyou know last name prostitut rightquot lmfao mr shniedddd xd
1,- Reading FMLs! ,read fml
1,"#numbergasm at the gym - 46:57 minutes, 369 calories ",gym 4657 minut 369 calori
1,#musicmonday &quot;Satellite&quot; by Guster @guster &lt;3         ,quotsatellitequot guster guster lt3
1,"#TFARP -cycle. Been a rather long solar cycle for everybody, I think. :p G'night Bots, Cons, and assorted others! ",cycl rather long solar cycl everybodi think p gnight bot con assort other
0,    fed up....,
0,#iRemember &quot;thumps&quot;.....when u used to say something dumb and they wud hit u....my head used to hurt ,quotthumpsquotwhen u use say someth dumb wud hit umi head use hurt
1, too good right now.,good right
0,&quot;fire shower of nuclear&quot; is not something i want to read right before i go to bed ,shower nuclearquot someth want read right go bed
0, It's raining again.,rain
0, that kinda hurt.,kinda hurt
1,#followfriday @keza34 @pob34 Two awesome tweeps to add to your following list.....  &lt;&lt;&lt;  Follow!    ,keza34 pob34 two awesom tweep add follow list ltltlt follow
0,#BZW @AriaaJaeger @ModelSupplies @amy4669 @entreprediva @tamaraschilling Girls...did I forget any wifes (before i get a DM of her crying ,ariaajaeg modelsuppli amy4669 entreprediva tamaraschil girlsdid forget wife get dm cri
0,"&lt;3broken, just on myspace. @thereallfo isnt coming to vegas or anywhere close. im gonna cry me a river now.  no fair!",myspac thereallfo isnt come vega anywher close im gon na cri river fair
0, cant leave because my dad is in the bathroom...,leav dad bathroom
1,&quot;homa&quot; going on at home..my parents' 19th wedding anniversary on 21st..so this is for that... ,go homemi parent 19th wed anniversari 21stso
0,"#FF Wish I could spare the time, but clients need me. I'm so sorry ",wish could spare time client need im sorri
1,#DMCwmnSHOW enjoying the show very much from sharon ,enjoy show much sharon
0,&lt; still hungry  still haven't eatin.,still hungri still eatin
1, bored..yo!,
0, bad night for the pens,night pen
1,#andyclemmensen is my number one ,number one
1,#musicmonday coffeeshop sound track - #alltimelow ,coffeeshop sound track alltimelow
0, bringing my lovely back home. Sucks. Great day. I love her. Steven later.,love back home suck great day love steven later
0,#dontyouhate when you run out of jungle juice ,run jungl juic
0, 3 hrs on da phone...lol dude is hilarious,hr da phonelol dude hilari
0, we're done with gurren lagann,done gurren lagann
0," I've finished my Oasis, and I want some more",finish oasi want
1,#InappropriateMovies Who's Afraid of Virgin Woolf ,who afraid virgin woolf
1,    SO FAR SO GOOD!,far good
1,#doyourememberwhen myspace first started out...it was pretty lame. YEAH i remember that shit. i'm a fuckin nerd ,myspac first start outit pretti lame yeah rememb shit im fuckin nerd
0, i cant believe you....,cant believ
0,=- so trange today,trang today
1,#FREQUENT QUESTION: &quot;Twitter Hashtags Explained&quot; http://bit.ly/z4rv6 Share It  Very short Video,question quottwitt hashtag explainedquot httpbitlyz4rv6 share short video
0, everybody has jobs. I am going to be the only one without money.,job go one without money
0,#dontyouhate the people that won't let you go ahead of them in the grocery store when they have 271 items and you have 3? ,peopl let go ahead groceri store 271 item 3
0, i wish someone was here to watch this movie with me. sucks watching titanic alone. haha depresing!,wish someon watch movi suck watch titan alon haha depres
1,&quot;Chile o Caliente&quot;  I love this color!!!  http://twitpic.com/5dk6b,calientequot love color httptwitpiccom5dk6b
1," actually quite happy toady. apart from the agony all over my body, and not being able to go outside :L done some revising so all's gd ",quit happi toadi apart agoni bodi abl go outsid l done revis all gd
0, ..omg...my celly is off...this hasn't happened to me in years...WTF!!! gota get my bill paid,celli offthi happen yearswtf gota get bill paid
0, awww man. This suckd,man suckd
1,"&quot;Love Me Chase Me&quot; debuts on Itunes tomorrow! Buy, Rate, and Review the track! Let @carneymusic know what you think of their new single ",chase mequot debut itun tomorrow buy rate review track let carneymus know think new singl
0,! cain't wait to go to the beach with Deonna tomarrow. it should be VERY fun. &amp; then M.A w/ deonna. wow im havin' a good summer. brace's ,caint wait go beach deonna tomarrow fun amp w deonna wow im havin good summer brace
0,   I didn't realize it was THAT deep. Geez give a girl a warning atleast!,realiz deep geez give girl warn atleast
0, thanks jimmy fallon for reminding me it's father's day this weekend. i don't want to work. screw you roger.,jimmi fallon remind father day weekend want work screw roger
0," Can't get my hands on a copy of Cap #600 until at least Thursday. Actively avoiding spoilers, bought Deadpool to cheer me up instead",get hand copi cap 600 least thursday activ avoid spoiler bought deadpool cheer instead
